name|Павлівська територіальна громада
region|Запорізька область
id|id201
link|http://decentralization.gov.ua/region/common/id/1354
0|1|2|3
село|Громади|Бюджети|Водопостачання
Берестове|Павлівська територіальна громада||
Біляївка|Павлівська територіальна громада||
Василівка|Павлівська територіальна громада||
Вишневе|Павлівська територіальна громада||
Вівчарне|Павлівська територіальна громада||
Задорожнє|Павлівська територіальна громада||
Зелене|Павлівська територіальна громада||
Значкове|Павлівська територіальна громада||
Любомирівка|Павлівська територіальна громада||
Нововасилівка|Павлівська територіальна громада||
Новоселівка|Павлівська територіальна громада||
Новоукраїнка|Павлівська територіальна громада||
Павлівське|Павлівська територіальна громада||
Першозванівка|Павлівська територіальна громада||
Поди|Павлівська територіальна громада||
Резедівка|Павлівська територіальна громада||
Роздолля|Павлівська територіальна громада||
Семененкове|Павлівська територіальна громада||
Спасівка|Павлівська територіальна громада||
Шевченкове|Павлівська територіальна громада||
