name|Преображенська територіальна громада
region|Запорізька область
id|id202
link|http://decentralization.gov.ua/region/common/id/455
0|1|2
Найменування показника|Значення показника|
1|Чисельність населення станом на 1 січня 2015 р. у тому числі дітей:|5 786
дошкільного віку|341|
шкільного віку|552|
2|Кількість населених пунктів, що входять до складу спроможної територіальної громади|15
3|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень  у тому числі:  сформованих відповідно до статті 64 Бюджетного кодексу|12 169 430
України|4 354 137|
базової дотації|1 804 658|
реверсної дотації|0|
4|Площа території спроможної територіальної громади, кв. кілометрів|36714
5|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|29
загальноосвітніх навчальних закладів I—III ступеня|2|
загальноосвітніх навчальних закладів I—II ступеня|1|
загальноосвітніх навчальних закладів I ступеня|1|
дошкільних навчальних закладів|4|
закладів позашкільної освіти|3|
закладів культури|10|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|3|
лікарень|0|
станцій швидкої допомоги|1|
6|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|1|
казначейського обслуговування|1|
7|Наявність приміщень для розміщення органів місцевого самоврядування|1
