name|Кунківська територіальна громада
region|Вінницька область
id|id111
link|http://decentralization.gov.ua/region/common/id/1346
0|1|2|3
село|Громади|Бюджети|Водопостачання
Косанове|Кунківська територіальна громада||
Кузьминці|Кунківська територіальна громада||
Кунка|Кунківська територіальна громада||
Мітлинці|Кунківська територіальна громада||
Носівці|Кунківська територіальна громада||
Павлівка|Кунківська територіальна громада||
Сокільці|Кунківська територіальна громада||
Шура-Мітлинецька|Кунківська територіальна громада||
Щурівці|Кунківська територіальна громада||
