name|Матеївецька територіальна громада
region|Івано-Франківська область
id|id213
link|http://decentralization.gov.ua/region/common/id/1279
0|1|2|3
село|Громади|Бюджети|Водопостачання
Ганнів|Матеївецька територіальна громада||
Дебеславці|Матеївецька територіальна громада||
Залуччя|Матеївецька територіальна громада||
Замулинці|Матеївецька територіальна громада||
Кринички|Матеївецька територіальна громада||
Кропивище|Матеївецька територіальна громада||
Матеївці|Матеївецька територіальна громада||
Перерив|Матеївецька територіальна громада||
Пилипи|Матеївецька територіальна громада||
Семаківці|Матеївецька територіальна громада||
Тростянка|Матеївецька територіальна громада||
