name|Старобогородчанська територіальна громада
region|Івано-Франківська область
id|id218
link|http://decentralization.gov.ua/region/common/id/744
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 1 січня 2015 року, у тому числі дітей:|6120
дошкільного віку|433|
шкільного віку|754|
2.|Кількість населених пунктів, що входять до складу  спроможної територіальної громади|5
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|5 841 600
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|2 905 000|
бюджету розвитку|0|
базової дотації|2 936 600|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, км2|8433
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|20
загальноосвітніх навчальних закладів І-ІІІ ступеня||
загальноосвітніх навчальних закладів І-ІІ ступеня||
загальноосвітніх навчальних закладів І ступеня||
дошкільних навчальних закладів|1|
закладів позашкільної освіти|0|
закладів культури|9|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|1|
лікарень|0|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|є|
реєстрації актів цивільного стану та майнових прав|є|
пенсійного забезпечення|є|
соціального захисту|є|
пожежної безпеки|є|
казначейського обслуговування|є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
