name|Миколаївська територіальна громада
region|Донецька область
id|id229
link|http://decentralization.gov.ua/region/common/id/150
0|1|2
№ з/п|Найменування показника|Значений показника
1.|Чисельність населення станом на 1 січня 2015 р.|23589
у тому числі дітей:||
дошкільного віку|1339|
шкільного віку|1546|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|15
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|13099844
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|12242044|
бюджету розвитку|857800|
базової дотації|0|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. кілометрів|280.4
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|6
у тому числі:||
загальноосвітніх навчальних закладів І-ІІІ ступеня|6|
загальноосвітніх навчальних закладів І-ІІ ступеня|0|
загальноосвітніх навчальних закладів І ступеня|0|
дошкільних навчальних закладів|7|
закладів позашкільної освіти|1|
закладів культури|7|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|5|
амбулаторій, поліклінік|2|
лікарень|1|
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, шо здійснюють повноваження щодо:|
правоохоронної діяльності|є|
реєстрації актів цивільного стану та майнових прав|є|
пенсійного забезпечення|Немає|
соціального захисту|Немає|
пожежної безпеки|є|
казначейського обслуговування|є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
