name|Шахівська територіальна громада
region|Донецька область
id|id233
link|http://decentralization.gov.ua/region/common/id/154
0|1|2
№ з/п|Найменування показника|Значення показника
1.|Чисельність населення станом на 1 січня 2015 р.|3384
у тому числі дітей:||
дошкільного віку|179|
шкільного віку|297|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|14
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|15677000
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|15584000|
бюджету розвитку|93000|
базової дотації|0|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв.кілометрів|23176
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|14
у тому числі:||
загальноосвітніх навчальних закладів I-III ступеня|1|
загальноосвітніх навчальних закладів I-II ступеня|1|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|2|
закладів позашкільної освіти|0|
закладів культури|4|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|5|
амбулаторій, поліклінік|1|
лікарень|0|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|немає|
реєстрації актів цивільного стану та майнових прав|немає|
пенсійного забезпечення|немає|
соціального захисту|немає|
пожежної безпеки|немає|
казначейського обслуговування|немає|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
