name|Барашівська територіальна громада
region|Житомирська область
id|id236
link|http://decentralization.gov.ua/region/common/id/673
0|1|2|3
село|Громади|Бюджети|Водопостачання
Антонівка|Барашівська територіальна громада||
Бараші|Барашівська територіальна громада||
Бастова Рудня|Барашівська територіальна громада||
Березівка|Барашівська територіальна громада||
Бобрицька Болярка|Барашівська територіальна громада||
Бобриця|Барашівська територіальна громада||
Будо-Бобриця|Барашівська територіальна громада||
Верби|Барашівська територіальна громада||
Ганнопіль|Барашівська територіальна громада||
Гута-Бобрицька|Барашівська територіальна громада||
Євгенівка|Барашівська територіальна громада||
Єлизаветпіль|Барашівська територіальна громада||
Йосипівка|Барашівська територіальна громада||
Киселівка|Барашівська територіальна громада||
Киянка|Барашівська територіальна громада||
Крем’янка|Барашівська територіальна громада||
Майдан|Барашівська територіальна громада||
Неділище|Барашівська територіальна громада||
Новоолександрівка|Барашівська територіальна громада||
Новосілка|Барашівська територіальна громада||
Синявка|Барашівська територіальна громада||
Сорочень|Барашівська територіальна громада||
Усолуси|Барашівська територіальна громада||
Шевченкове|Барашівська територіальна громада||
