name|Вільська територіальна громада
region|Житомирська область
id|id241
link|http://decentralization.gov.ua/region/common/id/1270
0|1|2|3
село|Громади|Бюджети|Водопостачання
Вишпіль|Вільська територіальна громада||
Вільськ|Вільська територіальна громада||
Зороків|Вільська територіальна громада||
Іванків|Вільська територіальна громада||
Івановичі|Вільська територіальна громада||
Крученець|Вільська територіальна громада||
Ксаверівка|Вільська територіальна громада||
Новопіль|Вільська територіальна громада||
Окілок|Вільська територіальна громада||
Перемога|Вільська територіальна громада||
Щербини|Вільська територіальна громада||
Ялинівка|Вільська територіальна громада||
