name|Горщиківська територіальна громада
region|Житомирська область
id|id243
link|http://decentralization.gov.ua/region/common/id/1271
0|1|2|3
село|Громади|Бюджети|Водопостачання
Березівка|Горщиківська територіальна громада||
Боровиця|Горщиківська територіальна громада||
Вигів|Горщиківська територіальна громада||
Видень|Горщиківська територіальна громада||
Горщик|Горщиківська територіальна громада||
Давидки|Горщиківська територіальна громада||
Дружбівка|Горщиківська територіальна громада||
Жупанівка|Горщиківська територіальна громада||
Краснопіль|Горщиківська територіальна громада||
Піски|Горщиківська територіальна громада||
