name|Дубрівська територіальна громада
region|Житомирська область
id|id245
link|http://decentralization.gov.ua/region/common/id/684
0|1|2
Найменування показника|Значення показника|
1|Чисельність населення станом на 1 січня 2015 року, в тому числі дітей:|5028
дошкільного віку|149|
шкільного віку|504|
2|Кількість населених пунктів, що входять до складу спроможної територіальної громади|16
3|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень, у тому числі:|4855000
|сформованих відповідно до статті 64 Бюджетного кодексу України|2822000
|бюджету розвитку|0
|базової дотації|2033000
|реверсної дотації|0
4|Площа території спроможної територіальної громади,кв. кілометрів|22051
5|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|46
загальноосвітніх навчальних закладів І-ІІІ ступеня|3|
загальноосвітніх навчальних закладів І-ІІ ступеня|5|
загальноосвітніх навчальних закладів І ступеня|0|
дошкільних навчальних закладів|7|
закладів позашкільної освіти|0|
закладів культури|20|
закладів фізичної культури|0|
фельдшерсько – акушерських пунктів|10|
амбулаторії загальної практики сімейної медицини|1|
поліклінік, лікарень|0|
станцій швидкої допомоги|0|
6|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|є
правоохоронної діяльності|є|
реєстрації актів цивільного стану та майнових прав|є|
пенсійного забезпечення|немає|
соціального захисту|є|
пожежної безпеки|є|
казначейського обслуговування|немає|
7|Наявність приміщень для розміщення органів місцевого самоврядування|є
