name|Іршанська територіальна громада
region|Житомирська область
id|id246
link|http://decentralization.gov.ua/region/common/id/710
0|1|2
Найменування показника|Значення показника|
1.|Кількість населення станом на 1 січня 2015 року, в тому числі:|7482
дітей дошкільного віку|379|
дітей шкільного віку|851|
2.|Кількість населених пунктів, що входять до спроможної територіальної громади|5
3.|Розрахунковий обсяг доходів спроможної територіальної громади (гривень), у тому числі:|13322800
сформованих відповідно до статті 64 Бюджетного кодексу України|15680600|
бюджету розвитку|0|
базової дотації|0|
реверсної дотації|2357800|
4.|Площа території громади, кв.кілометрів|6422
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування:|16
школи І-ІІІ ступеня|2|
школи І-ІІ ступеня|0|
школи І ступеня|0|
дошкільні навчальні заклади|2|
заклади позашкільної освіти|1|
закладів культури|6|
закладів фізичної культури|1|
фельдшерсько-акушерських пунктів|2|
амбулаторій, поліклінік|1|
лікарень|0|
станцій швидкої допомоги|1|
6.|Наявність приміщень, для розміщення державних органів, установ, що здійснюють повноваження щодо:|є
правоохоронної діяльності|є|
реєстрації актів цивільного стану та майнових прав|є|
пенсійного забезпечення|є|
соціального захисту|є|
пожежної безпеки|є|
казначейського обслуговування|є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
