name|Квітнева територіальна громада
region|Житомирська область
id|id247
link|http://decentralization.gov.ua/region/common/id/1272
0|1|2|3
село|Громади|Бюджети|Водопостачання
Велика Чернявка|Квітнева територіальна громада||
Дехтярка|Квітнева територіальна громада||
Єрчики|Квітнева територіальна громада||
Квітневе|Квітнева територіальна громада||
Кошляки|Квітнева територіальна громада||
Почуйки|Квітнева територіальна громада||
Романівка|Квітнева територіальна громада||
Ставище|Квітнева територіальна громада||
Яблунівка|Квітнева територіальна громада||
