name|Корнинська територіальна громада
region|Житомирська область
id|id248
link|http://decentralization.gov.ua/region/common/id/1238
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р. у тому числі дітей:|8169
дошкільного віку|567|
шкільного віку|975|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|17
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень у тому числі:|8335500
сформованих відповідно до статті 64 Бюджетного кодексу України|6103900|
бюджету розвитку|248700|
базової дотації|1982900|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. кілометрів|3685
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|44
загальноосвітніх навчальних закладів I—III ступеня|5|
загальноосвітніх навчальних закладів I—II ступеня|4|
загальноосвітніх навчальних закладівI ступеня|0|
дошкільних навчальних закладів|4|
закладів позашкільної освіти|1|
закладів культури|23|
закладів фізичної культури|1|
фельдшерсько-акушерських пунктів|1|
амбулаторій, поліклінік|3|
лікарень|1|
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|є
правоохоронної діяльності|є|
реєстрації актів цивільного стану та майнових прав|є|
пенсійного забезпечення|є|
соціального захисту|є|
пожежної безпеки|є|
казначейського обслуговування|є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
