name|Новоборівська територіальна громада
region|Житомирська область
id|id254
link|http://decentralization.gov.ua/region/common/id/695
0|1|2
Найменування показника|Значення показника|
1.|Кількість населення станом на 1 січня 2015 року, в тому числі:|8602
дітей дошкільного віку|388|
дітей шкільного віку|863|
2.|Кількість населених пунктів, що входять до спроможної територіальної громади|18
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади (гривень),у тому числі:|8962400
сформованих відповідно до статті 64 Бюджетного кодексу України|5930900|
бюджету розвитку|0|
базової дотації|3031500|
реверсної дотації|0|
4.|Площа території громади, кв. кілометрів|20975
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|36
загальноосвітніх навчальних закладів I—III ст.|3|
загальноосвітніх навчальних закладів I—II ступеня|2|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|6|
закладів позашкільної освіти|1|
закладів культури|14|
закладів фізичної культури|1|
фельдшерсько-акушерських пунктів|6|
амбулаторій, поліклінік|2|
лікарень|0|
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|є
правоохоронної діяльності|є|
реєстрації актів цивільного стану та майнових прав|є|
пенсійного забезпечення|є|
соціального захисту|є|
пожежної безпеки|є|
казначейського обслуговування|є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
