name|Семенівська територіальна громада
region|Житомирська область
id|id258
link|http://decentralization.gov.ua/region/common/id/1273
0|1|2|3
село|Громади|Бюджети|Водопостачання
Великі Низгірці|Семенівська територіальна громада||
Дубівка|Семенівська територіальна громада||
Закутинці|Семенівська територіальна громада||
Іванківці|Семенівська територіальна громада||
Кикишівка|Семенівська територіальна громада||
Красівка|Семенівська територіальна громада||
Малі Гадомці|Семенівська територіальна громада||
Нова Олександрівка|Семенівська територіальна громада||
Семенівка|Семенівська територіальна громада||
Сингаївка|Семенівська територіальна громада||
Терехове|Семенівська територіальна громада||
Хажин|Семенівська територіальна громада||
