name|Станишівська територіальна громада
region|Житомирська область
id|id259
link|http://decentralization.gov.ua/region/common/id/1240
0|1|2|3
село|Громади|Бюджети|Водопостачання
Бистрі|Станишівська територіальна громада||
Вершина|Станишівська територіальна громада||
Грабівка|Станишівська територіальна громада||
Зарічани|Станишівська територіальна громада||
Кринички|Станишівська територіальна громада||
Лісівщина|Станишівська територіальна громада||
Ліщин|Станишівська територіальна громада||
Лука|Станишівська територіальна громада||
Млинище|Станишівська територіальна громада||
Мошківка|Станишівська територіальна громада||
Піски|Станишівська територіальна громада||
Скоморохи|Станишівська територіальна громада||
Слобода-Селець|Станишівська територіальна громада||
Станишівка|Станишівська територіальна громада||
Тарасівка|Станишівська територіальна громада||
Туровець|Станишівська територіальна громада||
