name|Тетерівська територіальна громада
region|Житомирська область
id|id260
link|http://decentralization.gov.ua/region/common/id/740
0|1|2|3
№ з/п|Найменування територіальних громад та населених пунктів, що входять до їх складу, із зазначенням адміністративного статусу|Чисельність населеннястаном на  1 січня 2015 р.|Відстань до потенційного адміністративного центру спроможної територіальної громади, кілометрів
|Буківська територіальна громада|797|
|с.Буки|432|21
|с.Нова Рудня|173|21
|с.Руденька|19|22
|с.Тригір’я|173|17
|Денишівська територіальна громада|1897|
|с.Дениші|1412|14
|с.Михайлівка|194|17
|с.Улянівка|291|21
|Корчацька територіальна громада|667|
|с.Корчак|369|8
|с.Катеринівка|87|11
|с.Перлявка|211|6
|Тетерівська територіальна громада|3041|
|с.Тетерівка|3041|0
