name|Ушомирська територіальна громада
region|Житомирська область
id|id261
link|http://decentralization.gov.ua/region/common/id/1274
0|1|2|3
село|Громади|Бюджети|Водопостачання
Березневе|Ушомирська територіальна громада||
Бондарівка|Ушомирська територіальна громада||
Велень|Ушомирська територіальна громада||
Вишневе|Ушомирська територіальна громада||
Гулянка|Ушомирська територіальна громада||
Жабче|Ушомирська територіальна громада||
Заріччя|Ушомирська територіальна громада||
Іванопіль|Ушомирська територіальна громада||
Калинівка|Ушомирська територіальна громада||
Ковбащина|Ушомирська територіальна громада||
Красногірка|Ушомирська територіальна громада||
Купище|Ушомирська територіальна громада||
Мошківка|Ушомирська територіальна громада||
Нова Ушиця|Ушомирська територіальна громада||
Охотівка|Ушомирська територіальна громада||
Першотравневе|Ушомирська територіальна громада||
Поліське|Ушомирська територіальна громада||
Пугачівка|Ушомирська територіальна громада||
Ришавка|Ушомирська територіальна громада||
Рудня|Ушомирська територіальна громада||
Рудня-Ушомирська|Ушомирська територіальна громада||
Садибне|Ушомирська територіальна громада||
Сантарка|Ушомирська територіальна громада||
Струмок|Ушомирська територіальна громада||
Ушиця|Ушомирська територіальна громада||
Ушомир|Ушомирська територіальна громада||
