name|Чижівська територіальна громада
region|Житомирська область
id|id264
link|http://decentralization.gov.ua/region/common/id/1276
0|1|2|3
село|Громади|Бюджети|Водопостачання
Берегове|Чижівська територіальна громада||
Вербівка|Чижівська територіальна громада||
Вишківка|Чижівська територіальна громада||
Вірівка|Чижівська територіальна громада||
Дібрівське|Чижівська територіальна громада||
Карпилівка|Чижівська територіальна громада||
Красилівка|Чижівська територіальна громада||
Красилівське|Чижівська територіальна громада||
Курчицька Гута|Чижівська територіальна громада||
Курчиця|Чижівська територіальна громада||
Мала Цвіля|Чижівська територіальна громада||
Михіївка|Чижівська територіальна громада||
Морозівка|Чижівська територіальна громада||
Таращанка|Чижівська територіальна громада||
Ходурки|Чижівська територіальна громада||
Чижівка|Чижівська територіальна громада||
