name|Пісківська територіальна громада
region|Київська область
id|id267
link|http://decentralization.gov.ua/region/common/id/1210
"
			№ з/п
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 01 січня 2015 р.|8321
у тому числі дітей:||
дошкільного віку|665|
шкільного віку|998|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|3
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|8089900
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|6674100|
бюджету розвитку|0|
базової дотації|1415800|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. кілометрів|15762
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|15
у тому числі:||
загальноосвітніх навчальних закладів І – ІІІ ступеня|4|
загальноосвітніх навчальних закладів І – ІІ ступеня|0|
загальноосвітніх навчальних закладів І ступеня|0|
дошкільних навчальних закладів|4|
закладів позашкільної освіти|0|
закладів культури|5|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|1|
амбулаторій, поліклінік|1|
лікарень|0|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|немає|
реєстрації актів цивільного стану та майнових прав|немає|
пенсійного забезпечення|немає|
соціального захисту|немає|
пожежної безпеки|немає|
казначейського обслуговування|немає|
7.|7. Наявність приміщень для розміщення органів місцевого самоврядування|немає
