name|Троїцька територіальна громада
region|Луганська область
id|id270
link|http://decentralization.gov.ua/region/common/id/411
0|1|2|3
село|Громади|Бюджети|Водопостачання
Аношкине|Троїцька територіальна громада||
Аношкине|Троїцька територіальна громада||
Арапівка|Троїцька територіальна громада||
Бабичеве|Троїцька територіальна громада||
Багачка|Троїцька територіальна громада||
Бараничеве|Троїцька територіальна громада||
Високе|Троїцька територіальна громада||
Високе|Троїцька територіальна громада||
Воєводське|Троїцька територіальна громада||
Глотівка|Троїцька територіальна громада||
Демино-Олександрівка|Троїцька територіальна громада||
Джерельне|Троїцька територіальна громада||
Жовтневе|Троїцька територіальна громада||
Жовтневе|Троїцька територіальна громада||
Загір’я|Троїцька територіальна громада||
Зайцеве|Троїцька територіальна громада||
Іллінка|Троїцька територіальна громада||
Іллінка|Троїцька територіальна громада||
Караїчне|Троїцька територіальна громада||
Караїчне|Троїцька територіальна громада||
Кашкарне|Троїцька територіальна громада||
Клинуватка|Троїцька територіальна громада||
Клинуватка|Троїцька територіальна громада||
Козарик|Троїцька територіальна громада||
Козарик|Троїцька територіальна громада||
Коченове|Троїцька територіальна громада||
Коченове|Троїцька територіальна громада||
Кошелівка|Троїцька територіальна громада||
Лантратівка|Троїцька територіальна громада||
Максимівка|Троїцька територіальна громада||
Маслівка|Троїцька територіальна громада||
Новознам’янка|Троїцька територіальна громада||
Новоолександрівка|Троїцька територіальна громада||
Озеро|Троїцька територіальна громада||
Полтавське|Троїцька територіальна громада||
Роднички|Троїцька територіальна громада||
Розпасіївка|Троїцька територіальна громада||
Розпасіївка|Троїцька територіальна громада||
Розсипне|Троїцька територіальна громада||
Розсипне|Троїцька територіальна громада||
Сиротине|Троїцька територіальна громада||
Солонці|Троїцька територіальна громада||
Судьбинка|Троїцька територіальна громада||
Тополі|Троїцька територіальна громада||
Тополі|Троїцька територіальна громада||
Троїцьке|Троїцька територіальна громада||
Федосіївка|Троїцька територіальна громада||
Федосіївка|Троїцька територіальна громада||
Царівка|Троїцька територіальна громада||
Царівка|Троїцька територіальна громада||
Шатківка|Троїцька територіальна громада||
Шатківка|Троїцька територіальна громада||
Ями|Троїцька територіальна громада||
Ями|Троїцька територіальна громада||
