name|Гніздичівська територіальна громада
region|Львівська область
id|id277
link|http://decentralization.gov.ua/region/common/id/762
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 1 січня 2015 р.|6862
у тому числі дітей:||
дошкільного віку|537|
шкільного віку|908|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|6
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|6 354 600
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|3 904 900|
бюджету розвитку|150 000|
базової дотації|2 297 400|
реверсної дотації||
4.|Площа території спроможної територіальної громади, кв. кілометрів|576
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|
у тому числі:||
загальноосвітніх навчальних закладів I-III ступеня|2|
загальноосвітніх навчальних закладів I-II ступеня|2|
загальноосвітніх навчальних закладів I ступеня|2|
дошкільних навчальних закладів|3|
закладів позашкільної освіти|0|
закладів культури|12|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|3|
амбулаторій, поліклінік|1|
Лікарень|0|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|Так|
реєстрації актів цивільного стану та майнових прав|Так|
пенсійного забезпечення|Так|
соціального захисту|Так|
пожежної безпеки|Так|
казначейського обслуговування|Так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Так
