name|Грабовецька територіальна громада
region|Львівська область
id|id278
link|http://decentralization.gov.ua/region/common/id/761
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 1 січня 2015 р.|3773
у тому числі дітей:|626|
дошкільного віку|240|
шкільного віку|386|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|6
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|10272075
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу  України|1525245|
бюджету розвитку||
базової дотації|1716500|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади,  кв. кілометрів|65.92
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|15
у тому числі:||
загальноосвітніх навчальних закладів I-III ступеня|1|
загальноосвітніх навчальних закладів I-II ступеня|1|
загальноосвітніх навчальних закладів I ступеня|1|
дошкільних навчальних закладів|1|
закладів позашкільної освіти|-|
закладів культури|6|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|5|
амбулаторій, поліклінік|-|
лікарень|-|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|Так|
реєстрації актів цивільного стану та майнових прав|Так|
пенсійного забезпечення|Так|
соціального захисту|Так|
пожежної безпеки|ні|
казначейського обслуговування|Так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
