name|Давидівська територіальна громада
region|Львівська область
id|id279
link|http://decentralization.gov.ua/region/common/id/1284
0|1|2|3
село|Громади|Бюджети|Водопостачання
Бережани|Давидівська територіальна громада||
Виннички|Давидівська територіальна громада||
Волиця|Давидівська територіальна громада||
Гончари|Давидівська територіальна громада||
Горішній|Давидівська територіальна громада||
Давидів|Давидівська територіальна громада||
Дмитровичі|Давидівська територіальна громада||
Кротошин|Давидівська територіальна громада||
Пасіки-Зубрицькі|Давидівська територіальна громада||
Соснівка|Давидівська територіальна громада||
Черепин|Давидівська територіальна громада||
Чишки|Давидівська територіальна громада||
