name|Жовтанецька територіальна громада
region|Львівська область
id|id281
link|http://decentralization.gov.ua/region/common/id/1285
0|1|2|3
село|Громади|Бюджети|Водопостачання
Велике Колодно|Жовтанецька територіальна громада||
Вирів|Жовтанецька територіальна громада||
Вихопні|Жовтанецька територіальна громада||
Горпин|Жовтанецька територіальна громада||
Грабовець|Жовтанецька територіальна громада||
Жовтанці|Жовтанецька територіальна громада||
Колоденці|Жовтанецька територіальна громада||
Новий Став|Жовтанецька територіальна громада||
Печихвости|Жовтанецька територіальна громада||
Ставники|Жовтанецька територіальна громада||
Честині|Жовтанецька територіальна громада||
Якимів|Жовтанецька територіальна громада||
