name|Новоміська територіальна громада
region|Львівська область
id|id289
link|http://decentralization.gov.ua/region/common/id/755
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 1 січня 2015 р.|5295
у тому числі дітей:|648|
дошкільного віку|216|
шкільного віку|432|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|14
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|13932500
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|1006400|
бюджету розвитку|-|
базової дотації|3684300|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади, кв. кілометрів|1836
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|44
у тому числі:||
загальноосвітніх навчальних закладів I-III ступеня|1|
загальноосвітніх навчальних закладів I-II ступеня|5|
загальноосвітніх навчальних закладів I ступеня|2|
дошкільних навчальних закладів|1|
закладів позашкільної освіти|-|
закладів культури|22|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|12|
амбулаторій, поліклінік|1|
лікарень|-|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|Так|
реєстрації актів цивільного стану та майнових прав|Так|
пенсійного забезпечення|Так|
соціального захисту|Так|
пожежної безпеки|Так|
казначейського обслуговування|Так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Так
