name|Тростянецька територіальна громада
region|Львівська область
id|id293
link|http://decentralization.gov.ua/region/common/id/1242
0|1|2
Найменування показника|Значення показників|
1|Чисельність населення станом на 1 січня 2015 року, в тому числі:|7908
дітей дошкільного віку|621|
дітей шкільного віку|726|
2|Кількість населених пунктів, що входять до спроможної територіальної громади|17
3|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень:  сформованих відповідно до статті 64 Бюджетного кодексу України;  бюджету розвитку  базової дотації  реверсної дотації|11795600  8919500  2876100  0
4|Площа території громади кв.км|1904
5|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування:|42
школи І-ІІІ ступеня|4|
школи І-ІІ ступеня|2|
школи І ступеня|1|
дитячі садки|1|
заклади позашкільної освіти|0|
культури|27|
фізичної культури|0|
фельдшерсько-акушерські пункти|10|
амбулаторії, поліклініки|2|
лікарні|0|
станції швидкої допомоги|0|
6|Наявність державних органів, установ, що утримуються за рахунок державного бюджету:|ні
правоохоронних органів|ні|
реєстрації актів цивільного стану та майнових прав|ні|
Пенсійного фонду|ні|
соціального захисту|ні|
протипожежної безпеки|ні|
Казначейства|ні|
7|Наявність приміщень, придатних для розміщення органів місцевого самоврядування|Так
