name|Ходорівська територіальна громада
region|Львівська область
id|id294
link|http://decentralization.gov.ua/region/common/id/1079
0|1
Найменування показника|Значення показника
1. Чисельність населення станом на 1 січня 2015 р.|26041
у тому числі дітей:|
дошкільного віку|1987
шкільного віку|2591
2. Кількість населених пунктів, що входять до складу спроможної територіальної громади|42
3.  Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|31077400
у тому числі:|22800000
сформованих відповідно до статті 64 Бюджетного кодексу України|
бюджету розвитку|-
базової дотації|8277400
реверсної дотації|-
4. Площа території спроможної територіальної громади, кв. кілометрів|331422
5. Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|
у тому числі:|
загальноосвітніх навчальних закладів І-ІП ступеня|11
загальноосвітніх навчальних закладів НІ ступеня|14
загальноосвітніх навчальних закладів І ступеня|4
дошкільних навчальних закладів|4
закладів позашкільної освіти|1
закладів культури|70
закладів фізичної культури|1
фельдшерсько-акушерських пунктів|21
амбулаторій, поліклінік|З
лікарень|1
станцій швидкої допомоги|1
6. Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|-
реєстрації актів цивільного стану та майнових прав|-
пенсійного забезпечення|-
соціального захисту|-
пожежної безпеки|є
казначейського обслуговування|-
7. Наявність приміщень для розміщення органів місцевого самоврядування|є
