name|Благодатненська територіальна громада
region|Миколаївська область
id|id298
link|http://decentralization.gov.ua/region/common/id/1288
0|1|2|3
село|Громади|Бюджети|Водопостачання
Благодатне|Благодатненська територіальна громада||
Булацелове|Благодатненська територіальна громада||
Виноградний Яр|Благодатненська територіальна громада||
Воєводське|Благодатненська територіальна громада||
Зелена Поляна|Благодатненська територіальна громада||
Новогригорівка|Благодатненська територіальна громада||
Новомихайлівка|Благодатненська територіальна громада||
Остапівка|Благодатненська територіальна громада||
Рябоконеве|Благодатненська територіальна громада||
Садове|Благодатненська територіальна громада||
Семенівка|Благодатненська територіальна громада||
