name|Куцурубська територіальна громада
region|Миколаївська область
id|id308
link|http://decentralization.gov.ua/region/common/id/767
0|1|2|3
село|Громади|Бюджети|Водопостачання
Дмитрівка|Куцурубська територіальна громада||
Дніпровське|Куцурубська територіальна громада||
Іванівка|Куцурубська територіальна громада||
Каталине|Куцурубська територіальна громада||
Куцуруб|Куцурубська територіальна громада||
Матросівка|Куцурубська територіальна громада||
Острівка|Куцурубська територіальна громада||
Парутине|Куцурубська територіальна громада||
Прибузьке|Куцурубська територіальна громада||
Солончаки|Куцурубська територіальна громада||
Червоне Парутине|Куцурубська територіальна громада||
Яселка|Куцурубська територіальна громада||
