name|Шевченківська територіальна громада
region|Миколаївська область
id|id316
link|http://decentralization.gov.ua/region/common/id/1189
0|1|2|3
село|Громади|Бюджети|Водопостачання
Водник|Шевченківська територіальна громада||
Зелений Гай|Шевченківська територіальна громада||
Зоря|Шевченківська територіальна громада||
Котляреве|Шевченківська територіальна громада||
Мирне|Шевченківська територіальна громада||
Новогригорівка|Шевченківська територіальна громада||
Новоруське|Шевченківська територіальна громада||
Оленівка|Шевченківська територіальна громада||
Шевченко|Шевченківська територіальна громада||
Шевченкове|Шевченківська територіальна громада||
