name|Коноплянська  територіальна громада
region|Одеська область
id|id321
link|http://decentralization.gov.ua/region/common/id/16
0|1|2
№ з/п|Найменування показника|Значення показника
1.|Чисельність населення станом на 1 січня 2015*|4972
у тому числі дітей:||
дошкільного віку|710|
шкільного віку|640|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|15
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|5 207 200
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|4 264 700|
бюджету розвитку|0|
базової дотації|942 500|
реверсної дотації|0|
4.|Площа території спроможної територіальної громади, кв. кілометрів|3146
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|33
у тому числі:||
загальноосвітніх навчальних закладів I-III ступеня|4|
загальноосвітніх навчальних закладів I-II ступеня|2|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|3|
закладів позашкільної освіти|0|
закладів культури|17|
закладів фізичної культури|0|
фельдшерсько-акушерських пунктів|5|
амбулаторій, поліклінік|1|
лікарень|0|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|немає|
реєстрації актів цивільного стану та майнових прав|немає|
пенсійного забезпечення|немає|
соціального захисту|немає|
пожежної безпеки|немає|
казначейського обслуговування|немає|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
