name|Білоцерківська територіальна громада
region|Полтавська область
id|id329
link|http://decentralization.gov.ua/region/common/id/619
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 01 січня 2015 року, осіб,  у тому числі дітей:|4921
дошкільного віку|389|
шкільного віку|427|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|18
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень, в тому числі:|44701
|сформованих відповідно до ст. 64 Бюджетного Кодексу України|54211
|бюджету розвитку|0
|базової дотації|0
|реверсної дотації|9510
4.|Площа території спроможної територіальної громади,  кв. кілометрів|200
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|27
|загальноосвітніх навчальних закладів I – III ступеня|2
|загальноосвітніх навчальних закладів I – II ступеня|3
|загальноосвітніх навчальних закладів I ступеня|-
|дошкільних навчальних закладів|3
|закладів позашкільної освіти|-
|закладів культури|12
|закладів фізичної культури|-
|фельдшерсько-акушерських пунктів|6
|амбулаторій, поліклінік|1
|лікарень|-
|станцій швидкої допомоги/пунктів постійного базування|-
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|4
правоохоронної діяльності|-|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|-|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|1
