name|Засульська територіальна громада
region|Полтавська область
id|id333
link|http://decentralization.gov.ua/region/common/id/632
0|1|2|3
село|Громади|Бюджети|Водопостачання
Барвінщина|Засульська територіальна громада||
Березівка|Засульська територіальна громада||
В’язівок|Засульська територіальна громада||
Вищий Булатець|Засульська територіальна громада||
Вільшанка|Засульська територіальна громада||
Войниха|Засульська територіальна громада||
Засулля|Засульська територіальна громада||
Кононівка|Засульська територіальна громада||
Кревелівка|Засульська територіальна громада||
Крем’янка|Засульська територіальна громада||
Куп’єваха|Засульська територіальна громада||
Литвяки|Засульська територіальна громада||
Луки|Засульська територіальна громада||
Малий В’язівок|Засульська територіальна громада||
Матяшівка|Засульська територіальна громада||
Мацківці|Засульська територіальна громада||
Мацкова Лучка|Засульська територіальна громада||
Мгар|Засульська територіальна громада||
Михнівці|Засульська територіальна громада||
Назарівка|Засульська територіальна громада||
Нижній Булатець|Засульська територіальна громада||
Новаки|Засульська територіальна громада||
Олександрівка|Засульська територіальна громада||
Оріхівка|Засульська територіальна громада||
П’ятигірці|Засульська територіальна громада||
Пишне|Засульська територіальна громада||
Піски|Засульська територіальна громада||
Покровське|Засульська територіальна громада||
Свічківка|Засульська територіальна громада||
Солониця|Засульська територіальна громада||
Стадня|Засульська територіальна громада||
Терни|Засульська територіальна громада||
Тернівщина|Засульська територіальна громада||
Тотчине|Засульська територіальна громада||
Червоні Пологи|Засульська територіальна громада||
Чуднівці|Засульська територіальна громада||
Шершнівка|Засульська територіальна громада||
Шинківщина|Засульська територіальна громада||
