name|Піщанська територіальна громада
region|Полтавська область
id|id339
link|http://decentralization.gov.ua/region/common/id/946
0|1|2
Найменування показника|Значення показника|
1.|Чисельність населення станом на 01 січня 2015 року, осіб, в тому числі дітей:|8457
|Дошкільного віку|540
|Шкільного віку|731
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень, в тому числі:|9339
|сформованих відповідно до ст. 64 Бюджетного Кодексу України|9339
|бюджету розвитку|0
|базової дотації|0
|реверсної дотації|0
4.|Площа території спроможної територіальної громади, кВ.кілометрів|7803
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, в тому числі:|12
|загальноосвітній навчальних закладів І-ІІІ ступеня|1
|загальноосвітній навчальних закладів І-ІІ ступеня|2
|загальноосвітніх навчальних закладівI ступеня|-
|дошкільних навчальних закладів|3
|закладів позашкільної освіти|-
|закладів культури|3
|закладів фізичної культури|-
|фельдшерсько-акушерських пунктів|1
|амбулаторій, поліклінік|2
|лікарень|-
|станцій швидкої допомоги/пунктів постійного базування|-
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6
|Правоохоронної діяльності|1
|Реєстрації актів цивільного стану та майнових прав|1
|Пенсійного забезпечення|1
|Соціального захисту|1
|Пожежної безпеки|-
|Казначейського обслуговування|1
7.|Наявність приміщень для розміщення органів місцевого самоврядування|1
