name|Покровсько-Багачанська територіальна громада
region|Полтавська область
id|id340
link|http://decentralization.gov.ua/region/common/id/653
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 01 січня 2015 року, осіб,  у тому числі дітей:|2600
дошкільного віку|300|
шкільного віку|300|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень, в тому числі:|30387
|сформованих відповідно до ст. 64 Бюджетного Кодексу України|30387
|бюджету розвитку|0
|базової дотації|0
|реверсної дотації|0
4.|Площа території спроможної територіальної громади, кв. кілометрів|121
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|20
|загальноосвітніх навчальних закладів I– III ступеня|1
|загальноосвітніх навчальних закладів I – II ступеня|1
|загальноосвітніх навчальних закладівI ступеня|1
|дошкільних навчальних закладів|3
|закладів позашкільної освіти|-
|закладів культури|8
|закладів фізичної культури|-
|фельдшерсько-акушерських пунктів|4
|амбулаторій, поліклінік|2
|лікарень|-
|станцій швидкої допомоги/пунктів постійного базування|-
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|1
