name|Рокитянська територіальна громада
region|Полтавська область
id|id343
link|http://decentralization.gov.ua/region/common/id/1361
0|1|2|3
село|Громади|Бюджети|Водопостачання
Андрущине|Рокитянська територіальна громада||
Вишарі|Рокитянська територіальна громада||
Говори|Рокитянська територіальна громада||
Корнієнки|Рокитянська територіальна громада||
Кравченки|Рокитянська територіальна громада||
Мостовівщина|Рокитянська територіальна громада||
Попове|Рокитянська територіальна громада||
Рокита|Рокитянська територіальна громада||
Трудолюбиве|Рокитянська територіальна громада||
Цикали|Рокитянська територіальна громада||
Шпирни|Рокитянська територіальна громада||
