name|Семенівська територіальна громада
region|Полтавська область
id|id344
link|http://decentralization.gov.ua/region/common/id/659
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 01 січня 2015 року, осіб,  у тому числі дітей:|7528
дошкільного віку|522|
шкільного віку|959|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|4
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень, в тому числі:|133337
|сформованих відповідно до ст. 64 Бюджетного Кодексу України|124793
|бюджету розвитку|0
|базової дотації|8544
|реверсної дотації|0
4.|Площа території спроможної територіальної громади,  кв. кілометрів|251
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|22
|загальноосвітніх навчальних закладів I – III ступеня|2
|загальноосвітніх навчальних закладів I– II ступеня|1
|загальноосвітніх навчальних закладівI ступеня|-
|дошкільних навчальних закладів|2
|закладів позашкільної освіти|3
|закладів культури|9
|закладів фізичної культури|-
|фельдшерсько-акушерських пунктів|2
|амбулаторій, поліклінік|1
|лікарень|1
|станцій швидкої допомоги/пунктів постійного базування|1
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|1
