name|Червонознам’янська територіальна громада
region|Полтавська область
id|id347
link|http://decentralization.gov.ua/region/common/id/663
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 01 січня 2015 року, осіб,  у тому числі дітей:|5162
дошкільного віку|334|
шкільного віку|431|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|5
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень, в тому числі:|52294
|сформованих відповідно до ст. 64 Бюджетного Кодексу України|5050
|бюджету розвитку|0
|базової дотації|1794
|реверсної дотації|0
4.|Площа території спроможної територіальної громади,  кв. кілометрів|82.69
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|14
|загальноосвітніх навчальних закладів I – III ступеня|1
|загальноосвітніх навчальних закладів I– II ступеня|2
|загальноосвітніх навчальних закладівI ступеня|-
|дошкільних навчальних закладів|3
|закладів позашкільної освіти|-
|закладів культури|4
|закладів фізичної культури|-
|фельдшерсько-акушерських пунктів|3
|амбулаторій, поліклінік|1
|лікарень|-
|станцій швидкої допомоги/пунктів постійного базування|-
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|6
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|1
