name|Шишацька територіальна громада
region|Полтавська область
id|id348
link|http://decentralization.gov.ua/region/common/id/666
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 01 січня 2015 року, осіб,  у тому числі дітей:|15307.0
дошкільного віку|976|
шкільного віку|1915|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|63.0
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, тис. гривень, в тому числі:|336966.0
|сформованих відповідно до ст. 64 Бюджетного Кодексу України|357888.0
|бюджету розвитку|0.0
|базової дотації|0.0
|реверсної дотації|20922.0
4.|Площа території спроможної територіальної громади,  кв. кілометрів|608.0
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|64.0
|загальноосвітніх навчальних закладів I – III ступеня|8.0
|загальноосвітніх навчальних закладів I– II ступеня|3.0
|загальноосвітніх навчальних закладівI ступеня|1.0
|дошкільних навчальних закладів|13.0
|закладів позашкільної освіти|2.0
|закладів культури|20.0
|закладів фізичної культури|1.0
|фельдшерсько-акушерських пунктів|8.0
|амбулаторій, поліклінік|6.0
|лікарень|1.0
|станцій швидкої допомоги/пунктів постійного базування|1.0
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|10.0
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|2|
пенсійного забезпечення|1|
соціального захисту|4|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|1.0
