name|Деражненська територіальна громада
region|Рівненська область
id|id354
link|http://decentralization.gov.ua/region/common/id/56
0|1|2|3
село|Громади|Бюджети|Водопостачання
Бичаль|Деражненська територіальна громада||
Ганнівка|Деражненська територіальна громада||
Деражне|Деражненська територіальна громада||
Дюксин|Деражненська територіальна громада||
Жильжа|Деражненська територіальна громада||
Перелисянка|Деражненська територіальна громада||
Постійне|Деражненська територіальна громада||
Соломка|Деражненська територіальна громада||
Суськ|Деражненська територіальна громада||
