name|Вишнівська  територіальна громада
region|Волинська область
id|id126
link|http://decentralization.gov.ua/region/common/id/1349
0|1|2|3
село|Громади|Бюджети|Водопостачання
Бабаці|Вишнівська територіальна громада||
Бережці|Вишнівська територіальна громада||
Вижгів|Вишнівська територіальна громада||
Висоцьк|Вишнівська територіальна громада||
Вишнів|Вишнівська територіальна громада||
Глинянка|Вишнівська територіальна громада||
Замлиння|Вишнівська територіальна громада||
Коцюри|Вишнівська територіальна громада||
Ладинь|Вишнівська територіальна громада||
Мосир|Вишнівська територіальна громада||
Олеськ|Вишнівська територіальна громада||
Приріччя|Вишнівська територіальна громада||
Пустинка|Вишнівська територіальна громада||
Радехів|Вишнівська територіальна громада||
Римачі|Вишнівська територіальна громада||
Терехи|Вишнівська територіальна громада||
Чмикос|Вишнівська територіальна громада||
Штунь|Вишнівська територіальна громада||
