name|Острожецька територіальна громада
region|Рівненська область
id|id362
link|http://decentralization.gov.ua/region/common/id/60
0|1|2|3
село|Громади|Бюджети|Водопостачання
Бакорин|Острожецька територіальна громада||
Борбин|Острожецька територіальна громада||
Заболотинці|Острожецька територіальна громада||
Заболоття|Острожецька територіальна громада||
Залав’я|Острожецька територіальна громада||
Зборів|Острожецька територіальна громада||
Малин|Острожецька територіальна громада||
Новосілки|Острожецька територіальна громада||
Острожець|Острожецька територіальна громада||
П’яннє|Острожецька територіальна громада||
Певжа|Острожецька територіальна громада||
Підгай|Острожецька територіальна громада||
Ставище|Острожецька територіальна громада||
Уїздці|Острожецька територіальна громада||
