name|Привільненська територіальна громада
region|Рівненська область
id|id365
link|http://decentralization.gov.ua/region/common/id/1245
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|3047
дошкільного віку|269|
шкільного віку|422|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|6848095
|у тому числі:|
|сформованих відповідно до статті 64 Бюджетного кодексу України|5148695
|бюджету розвитку|0
|базової дотації|1699400
|реверсної дотації|0
4.|Площа території спроможної територіальної громади, кв. кілометрів|8236
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|19
|загальноосвітніх навчальних закладів I—III ступеня|1
|загальноосвітніх навчальних закладів I—II ступеня|1
|загальноосвітніх навчальних закладівI ступеня|1
|дошкільних навчальних закладів|1
|закладів позашкільної освіти|-
|закладів культури|7
|закладів фізичної культури|1
|фельдшерсько-акушерських пунктів|7
|амбулаторій, поліклінік|-
|лікарень|-
|станцій швидкої допомоги|-
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|1|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|1
