name|Боромлянська територіальна громада
region|Сумська область
id|id370
link|http://decentralization.gov.ua/region/common/id/83
"
			№
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 01 січня 2016 р.,  у тому числі дітей:|6462.0
дошкільного віку|373|
шкільного віку|511|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|12.0
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади  Центр громади - гривень, у тому числі:|11585643.0
сформованих відповідно до статті 64 Бюджетного кодексу України|10537813|
бюджету розвитку|79930|
базової дотації|967900|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади  Центр громади - кв. км|30502.0
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|11.0
загальноосвітніх навчальних закладів I-III ступенів|2|
загальноосвітніх навчальних закладів I-II ступенів|-|
загальноосвітніх навчальних закладів I ступеня|-|
дошкільних навчальних закладів|1|
закладів позашкільної освіти|1|
закладів культури|3|
закладів фізичної культури|1|
фельдшерсько-акушерських пунктів|1|
амбулаторій, поліклінік|1|
лікарень|-|
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|7.0
правоохоронної діяльності|1|
реєстрації актів цивільного стану та майнових прав|1|
пенсійного забезпечення|1|
соціального захисту|1|
пожежної безпеки|2|
казначейського обслуговування|1|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|2.0
