name|Бочечківська територіальна громада
region|Сумська область
id|id371
link|http://decentralization.gov.ua/region/common/id/1363
0|1|2|3
Поряд-  ковий номер|Найменування територіальних громад та населених пунктів, що входять до їх складу, із зазначенням адміністративного статусу|Чисельність населення станом на  1 січня 2016 р.|Відстань до потенційного адміністративного центру спроможної територіальної громади, кілометрів
|Бочечківська ОТГ|4892|
|Бочечківська сільська рада|1223|
|с.Бочечки|1223|-
|Козацька сільська рада|1650|
|с.Козацьке|1419|7
|с.Вовчик|15|11
|с.Новомутин|210|17
|с.Щекинське|6|3
|Сахнівська сільська рада|712|
|с.Сахни|428|6
|с.Бондарі|243|8
|с.Савойське|41|7
|Хижківська сільська рада|402|
|с.Хижки|355|27
|с.Прилужжя|47|19
