name|Вільшанська територіальна громада
region|Сумська область
id|id372
link|http://decentralization.gov.ua/region/common/id/90
"
			№
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей:|5117
дошкільного віку|92|
шкільного віку|316|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|22
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень, у тому числі:|15152400
сформованих відповідно до статті 64 Бюджетного кодексу України|8894200|
бюджету розвитку|-|
базової дотації|1228800|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади, кв. км|25851
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|32
загальноосвітніх навчальних закладів I-III ступенів|3|
загальноосвітніх навчальних закладів I-II ступенів|2|
загальноосвітніх навчальних закладів I ступеня|-|
дошкільних навчальних закладів|2|
закладів позашкільної освіти|-|
закладів культури|16|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|7|
амбулаторій, поліклінік|2|
лікарень|-|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|Є
правоохоронної діяльності|Є|
реєстрації актів цивільного стану та майнових прав|Є|
пенсійного забезпечення|Є|
соціального захисту|Є|
пожежної безпеки|Є|
казначейського обслуговування|Є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Є
