name|Грунська територіальна громада
region|Сумська область
id|id373
link|http://decentralization.gov.ua/region/common/id/92
"
			№
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей:|5781
дошкільного віку|239|
шкільного віку|364|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|17
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади  Центр громади - гривень, у тому числі:|7460100
сформованих відповідно до статті 64 Бюджетного кодексу України|5541200|
бюджету розвитку|-|
базової дотації|1918900|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади  Центр громади - кв. км|24699
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|29
загальноосвітніх навчальних закладів I-III ступенів|4|
загальноосвітніх навчальних закладів I-II ступенів|1|
загальноосвітніх навчальних закладів I ступеню|-|
дошкільних навчальних закладів|4|
закладів позашкільної освіти|-|
закладів культури|12|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|1|
лікарень|2|
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|Є|
реєстрації актів цивільного стану та майнових прав|Є|
пенсійного забезпечення|Є|
соціального захисту|Є|
пожежної безпеки|Є|
казначейського обслуговування|Є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Є
