name|Кролевецька територіальна громада
region|Сумська область
id|id378
link|http://decentralization.gov.ua/region/common/id/100
0|1|2|3
Поряд-ковий номер|Найменування територіальних громад та населених пунктів, що входять до їх складу, із зазначенням адміністративного статусу|Чисельність населення станом на  1 січня 2016 р.|Відстань до потенційного адміністративного центру спроможної територіальної громади, кілометрів
|Кролевецька ОТГ|38387|
|Кролевецька міська рада|23633|
|м.Кролевець|23633|-
|Грузчанська сільська рада|806|
|с.Грузьке|787|10
|с.Мостище|16|8
|с.Тарасівка|3|17
|Реутинська сільська рада|826|
|с.Реутинці|775|8
|с.Боцманів|17|7
|с.Грибаньове|1|12
|с.Ніжинське|1|8
|с.Артюхове|32|3
