name|Миколаївська територіальна громада (сільська)
region|Сумська область
id|id380
link|http://decentralization.gov.ua/region/common/id/103
"
			№
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей:|3839
дошкільного віку|137|
шкільного віку|284|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|20
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади  Центр громади - гривень, у тому числі:|12003700
сформованих відповідно до статті 64 Бюджетного кодексу України|7609500|
бюджету розвитку|-|
базової дотації|-|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади  Центр громади - кв. км|23361
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|21
загальноосвітніх навчальних закладів I-III ступенів|2|
загальноосвітніх навчальних закладів I-II ступенів|1|
загальноосвітніх навчальних закладів I ступеню|-|
дошкільних навчальних закладів|1|
закладів позашкільної освіти|1|
закладів культури|10|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|2|
лікарень|-|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|Є
правоохоронної діяльності|Є|
реєстрації актів цивільного стану та майнових прав|Є|
пенсійного забезпечення|Є|
соціального захисту|Є|
пожежної безпеки|Є|
казначейського обслуговування|Є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Є
