name|Недригайлівська територіальна громада
region|Сумська область
id|id382
link|http://decentralization.gov.ua/region/common/id/104
"
			№ 
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей:|8870
дошкільного віку|273|
шкільного віку|687|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|23
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень, у тому числі:|29748600
сформованих відповідно до статті 64 Бюджетного кодексу України|17340300|
бюджету розвитку|350800|
базової дотації|566700|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади, кв. км|233
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|45
загальноосвітніх навчальних закладів I-III ступенів|3|
загальноосвітніх навчальних закладів I-II ступенів|2|
загальноосвітніх навчальних закладів I ступеня|-|
дошкільних навчальних закладів|6|
закладів позашкільної освіти|1|
закладів культури|17|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|10|
амбулаторій, поліклінік|3|
лікарень|2|
станцій швидкої допомоги|1|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|Є
правоохоронної діяльності|Є|
реєстрації актів цивільного стану та майнових прав|Є|
пенсійного забезпечення|Є|
соціального захисту|Є|
пожежної безпеки|Є|
казначейського обслуговування|Є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Є
