name|Хотінська територіальна громада
region|Сумська область
id|id384
link|http://decentralization.gov.ua/region/common/id/119
"
			№
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей:|4950
дошкільного віку|269|
шкільного віку|413|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|10
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади  Центр громади - гривень, у тому числі:|14347600
сформованих відповідно до статті 64 Бюджетного кодексу України|7958200|
бюджету розвитку|-|
базової дотації|1064200|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади  Центр громади - кв.км|17655
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|23
загальноосвітніх навчальних закладів I-III ступенів|1|
загальноосвітніх навчальних закладів I-II ступенів|1|
загальноосвітніх навчальних закладів I ступеня|1|
дошкільних навчальних закладів|3|
закладів позашкільної освіти|-|
закладів культури|11|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|2|
лікарень|-|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|Є
правоохоронної діяльності|Є|
реєстрації актів цивільного стану та майнових прав|Є|
пенсійного забезпечення|Є|
соціального захисту|Є|
пожежної безпеки|Є|
казначейського обслуговування|Є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Є
