name|Шалигинська територіальна громада
region|Сумська область
id|id385
link|http://decentralization.gov.ua/region/common/id/124
"
			№
			"|"
			Найменування показника
			"|"
			Значення показника
			"
1.|Чисельність населення станом на 1 січня 2016 р.,  у тому числі дітей:|4266
дошкільного віку|98|
шкільного віку|328|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|9
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень, у тому числі:|7620700
сформованих відповідно до статті 64 Бюджетного кодексу України|6861900|
бюджету розвитку|-|
базової дотації|758900|
реверсної дотації|-|
4.|Площа території спроможної територіальної громади, кв. км|25752
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування, у тому числі:|23
загальноосвітніх навчальних закладів I-III ступенів|3|
загальноосвітніх навчальних закладів I-II ступенів|1|
загальноосвітніх навчальних закладів I ступеня|-|
дошкільних навчальних закладів|1|
закладів позашкільної освіти|-|
закладів культури|11|
закладів фізичної культури|-|
фельдшерсько-акушерських пунктів|6|
амбулаторій, поліклінік|1|
лікарень|-|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності|Є|
реєстрації актів цивільного стану та майнових прав|Є|
пенсійного забезпечення|Є|
соціального захисту|Є|
пожежної безпеки|Є|
казначейського обслуговування|Є|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|Є
