name|Байковецька територіальна громада
region|Тернопільська область
id|id386
link|http://decentralization.gov.ua/region/common/id/794
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|5614
дошкільного віку|380|
шкільного віку|623|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади,  тис. гривень|200921
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|198468|
бюджету розвитку|18775|
базової дотації||
реверсної дотації|34955|
4.|Площа території спроможної територіальної громади, км²|862
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|
загальноосвітніх навчальних закладів I—III ступеня|1|
загальноосвітніх навчальних закладів I—II ступеня|4|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|1|
закладів позашкільної освіти|1|
закладів культури|6|
закладів фізичної культури|4|
фельдшерсько-акушерських пунктів|5|
амбулаторій, поліклінік|1|
лікарень|0|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ,  що здійснюють повноваження щодо:|
правоохоронної діяльності|так|
реєстрації актів цивільного стану та майнових прав|так|
пенсійного забезпечення|так|
соціального захисту|так|
пожежної безпеки|так|
казначейського обслуговування|так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
