name|Великогаївська територіальна громада
region|Тернопільська область
id|id392
link|http://decentralization.gov.ua/region/common/id/791
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|11187
дошкільного віку|748|
шкільного віку|1318|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|14
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади,  тис. гривень|131217
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|104203|
бюджету розвитку||
базової дотації|27014|
реверсної дотації||
4.|Площа території спроможної територіальної громади, км²|1420
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|
загальноосвітніх навчальних закладів I—III ступеня|3|
загальноосвітніх навчальних закладів I—II ступеня|2|
загальноосвітніх навчальних закладів I ступеня|1|
дошкільних навчальних закладів|4|
закладів позашкільної освіти|2|
закладів культури|14|
закладів фізичної культури|5|
фельдшерсько-акушерських пунктів|11|
амбулаторій, поліклінік|0|
лікарень|1|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ,  що здійснюють повноваження щодо:|
правоохоронної діяльності|так|
реєстрації актів цивільного стану та майнових прав|так|
пенсійного забезпечення|так|
соціального захисту|так|
пожежної безпеки|так|
казначейського обслуговування|так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
