name|Заборольська територіальна громада
region|Волинська область
id|id130
link|http://decentralization.gov.ua/region/common/id/1348
0|1|2|3
село|Громади|Бюджети|Водопостачання
Антонівка|Заборольська територіальна громада||
Боголюби|Заборольська територіальна громада||
Богушівка|Заборольська територіальна громада||
Великий Омеляник|Заборольська територіальна громада||
Всеволодівка|Заборольська територіальна громада||
Городок|Заборольська територіальна громада||
Заболотці|Заборольська територіальна громада||
Забороль|Заборольська територіальна громада||
Одеради|Заборольська територіальна громада||
Олександрівка|Заборольська територіальна громада||
Охотин|Заборольська територіальна громада||
Сьомаки|Заборольська територіальна громада||
Тарасове|Заборольська територіальна громада||
Шепель|Заборольська територіальна громада||
