name|Іванівська територіальна громада
region|Тернопільська область
id|id401
link|http://decentralization.gov.ua/region/common/id/771
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|4482
дошкільного віку|241|
шкільного віку|452|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|5
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади,  тис. гривень|35420
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|24332|
бюджету розвитку||
базової дотації|11088|
реверсної дотації||
4.|Площа території спроможної територіальної громади, км²|1100
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|
загальноосвітніх навчальних закладів I—III ступеня|2|
загальноосвітніх навчальних закладів I—II ступеня|3|
загальноосвітніх навчальних закладів I ступеня|-|
дошкільних навчальних закладів|5|
закладів позашкільної освіти|1|
закладів культури|4|
закладів фізичної культури|3|
фельдшерсько-акушерських пунктів|3|
амбулаторій, поліклінік|2|
лікарень|-|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ,  що здійснюють повноваження щодо:|
правоохоронної діяльності|так|
реєстрації актів цивільного стану та майнових прав|так|
пенсійного забезпечення|так|
соціального захисту|так|
пожежної безпеки|так|
казначейського обслуговування|так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
