name|Козлівська територіальна громада
region|Тернопільська область
id|id402
link|http://decentralization.gov.ua/region/common/id/786
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|4648
дошкільного віку|310|
шкільного віку|736|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|5
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади,  тис. гривень|66646
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|46446|
бюджету розвитку|677|
базової дотації|19523|
реверсної дотації||
4.|Площа території спроможної територіальної громади, км²|960
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|
загальноосвітніх навчальних закладів I—III ступеня|0|
загальноосвітніх навчальних закладів I—II ступеня|3|
загальноосвітніх навчальних закладів I ступеня|0|
дошкільних навчальних закладів|1|
закладів позашкільної освіти|1|
закладів культури|3|
закладів фізичної культури|3|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|1|
лікарень|1|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ,  що здійснюють повноваження щодо:|
правоохоронної діяльності|так|
реєстрації актів цивільного стану та майнових прав|так|
пенсійного забезпечення|так|
соціального захисту|так|
пожежної безпеки|так|
казначейського обслуговування|так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
