name|Колиндянська територіальна громада
region|Тернопільська область
id|id403
link|http://decentralization.gov.ua/region/common/id/785
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|4696
дошкільного віку|242|
шкільного віку|463|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|6
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади,  тис. гривень|14979
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|12774|
бюджету розвитку||
базової дотації|28113|
реверсної дотації||
4.|Площа території спроможної територіальної громади, км²|1080
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|
загальноосвітніх навчальних закладів I—III ступеня|2|
загальноосвітніх навчальних закладів I—II ступеня|2|
загальноосвітніх навчальних закладів I ступеня|1|
дошкільних навчальних закладів|5|
закладів позашкільної освіти|1|
закладів культури|5|
закладів фізичної культури|4|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|2|
лікарень|0|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ,  що здійснюють повноваження щодо:|
правоохоронної діяльності|так|
реєстрації актів цивільного стану та майнових прав|так|
пенсійного забезпечення|так|
соціального захисту|так|
пожежної безпеки|так|
казначейського обслуговування|так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
