name|Микулинецька територіальна громада
region|Тернопільська область
id|id409
link|http://decentralization.gov.ua/region/common/id/780
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|7993
дошкільного віку|624|
шкільного віку|1121|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|7
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади,  тис. гривень|74259
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|52396|
бюджету розвитку|1544|
базової дотації|20319|
реверсної дотації||
4.|Площа території спроможної територіальної громади, км²|940
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|
загальноосвітніх навчальних закладів I—III ступеня|1|
загальноосвітніх навчальних закладів I—II ступеня|2|
загальноосвітніх навчальних закладів I ступеня|2|
дошкільних навчальних закладів|3|
закладів позашкільної освіти|3|
закладів культури|7|
закладів фізичної культури|4|
фельдшерсько-акушерських пунктів|4|
амбулаторій, поліклінік|1|
лікарень|1|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ,  що здійснюють повноваження щодо:|
правоохоронної діяльності|так|
реєстрації актів цивільного стану та майнових прав|так|
пенсійного забезпечення|так|
соціального захисту|так|
пожежної безпеки|так|
казначейського обслуговування|так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
