name|Забродівська територіальна громада
region|Волинська область
id|id131
link|http://decentralization.gov.ua/region/common/id/1350
0|1|2|3
село|Громади|Бюджети|Водопостачання
Адамівка|Забродівська територіальна громада||
Видраниця|Забродівська територіальна громада||
Заброди|Забродівська територіальна громада||
Задолина|Забродівська територіальна громада||
Заіванове|Забродівська територіальна громада||
Залюття|Забродівська територіальна громада||
Зоряне|Забродівська територіальна громада||
Лучичі|Забродівська територіальна громада||
Мельники-Річицькі|Забродівська територіальна громада||
Окачеве|Забродівська територіальна громада||
Підгір’я|Забродівська територіальна громада||
Піски-Річицькі|Забродівська територіальна громада||
Поступель|Забродівська територіальна громада||
Річиця|Забродівська територіальна громада||
Щедрогір|Забродівська територіальна громада||
Якушів|Забродівська територіальна громада||
