name|Скала-Подільська територіальна громада
region|Тернопільська область
id|id415
link|http://decentralization.gov.ua/region/common/id/774
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|9660
дошкільного віку|558|
шкільного віку|924|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|12
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади,  тис. гривень|85462
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|43858|
бюджету розвитку|5101|
базової дотації|41094|
реверсної дотації||
4.|Площа території спроможної територіальної громади, км²|1499
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|
загальноосвітніх навчальних закладів I—III ступеня|3|
загальноосвітніх навчальних закладів I—II ступеня|4|
загальноосвітніх навчальних закладів I ступеня|1|
дошкільних навчальних закладів|6|
закладів позашкільної освіти|1|
закладів культури|13|
закладів фізичної культури|6|
фельдшерсько-акушерських пунктів|8|
амбулаторій, поліклінік|4|
лікарень|0|
станцій швидкої допомоги|0|
6.|Наявність приміщень для розміщення державних органів, установ,  що здійснюють повноваження щодо:|
правоохоронної діяльності|так|
реєстрації актів цивільного стану та майнових прав|так|
пенсійного забезпечення|так|
соціального захисту|так|
пожежної безпеки|так|
казначейського обслуговування|так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
