name|Теребовлянська територіальна громада
region|Тернопільська область
id|id418
link|http://decentralization.gov.ua/region/common/id/770
"
			Найменування показника
			"|"
			Значення показника
			"|Unnamed: 2
1.|Чисельність населення станом на 1 січня 2015 р.  у тому числі дітей:|30698
дошкільного віку|1049|
шкільного віку|2281|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|26
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади,  тис. гривень|286789
у тому числі:||
сформованих відповідно до статті 64 Бюджетного кодексу України|211626|
бюджету розвитку|4386|
базової дотації|70778|
реверсної дотації||
4.|Площа території спроможної територіальної громади, км²|3990
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування  у тому числі:|
загальноосвітніх навчальних закладів I—III ступеня|6|
загальноосвітніх навчальних закладів I—II ступеня|11|
загальноосвітніх навчальних закладів I ступеня|4|
дошкільних навчальних закладів|10|
закладів позашкільної освіти|3|
закладів культури|13|
закладів фізичної культури|9|
фельдшерсько-акушерських пунктів|16|
амбулаторій, поліклінік|5|
лікарень|1|
станцій швидкої допомоги|-|
6.|Наявність приміщень для розміщення державних органів, установ,  що здійснюють повноваження щодо:|
правоохоронної діяльності|так|
реєстрації актів цивільного стану та майнових прав|так|
пенсійного забезпечення|так|
соціального захисту|так|
пожежної безпеки|так|
казначейського обслуговування|так|
7.|Наявність приміщень для розміщення органів місцевого самоврядування|так
